,num. of creatures,num. of foods
0,5,0
1,5,21
2,3,32
3,3,47
4,3,68
5,3,91
6,3,104
7,1,116
8,1,127
9,1,142
10,1,159
11,1,180
12,1,198
13,1,215
14,1,241
15,1,258
16,1,282
17,2,304
18,2,328
19,3,341
20,3,354
21,3,366
22,6,379
23,7,388
24,7,401
25,11,410
26,13,417
27,16,413
28,20,418
29,25,420
30,31,410
31,30,395
32,46,360
33,51,332
34,62,304
35,66,275
36,69,236
37,62,230
38,57,216
39,59,199
40,60,178
41,58,151
42,58,126
43,61,94
44,63,66
45,64,45
46,45,55
47,37,59
48,33,63
49,30,63
50,27,61
51,25,65
52,21,67
53,18,65
54,16,73
55,16,79
56,17,87
57,16,99
58,16,104
59,13,123
60,11,135
61,12,140
62,12,140
63,14,147
64,15,154
65,19,152
66,20,161
67,21,163
68,23,167
69,23,173
70,28,165
71,27,162
72,27,160
73,28,152
74,29,157
75,26,154
76,26,157
77,27,152
78,36,138
79,43,120
80,42,120
81,43,118
82,39,102
83,39,95
84,35,100
85,31,104
86,33,95
87,31,103
88,34,88
89,35,81
90,34,72
91,34,67
92,31,66
93,29,67
94,22,68
95,23,66
96,22,65
97,20,72
98,20,77
99,19,79
100,18,88
